Artikel plieger,Omschrijving,min,max,aantal
"3010684,Bonfix Knelfitting messing knel knie messing bu.dr. 1/2""bux15mm conisch - gastec / kiwa 82700,4,10,8"
3010644,Bonfix Knelfitting messing knel eindstop messing 15mm gastec / kiwa 82495,4,10,2
"8910502,Bonfix Knelfitting messing knel T-stuk verlopend messing bi.dr. 15x1/2""bix15mm conisch - gastec / kiwa 82646,4,10,8"
3010568,Bonfix Knelfitting messing knelkoppeling messing 22x22mm gastec / kiwa 82531,4,10,6
3010656,Bonfix Knelfitting messing knel knie messing 22x22mm gastec / kiwa 82521,4,10,8
8910014,Bonfix Knelfitting messing knel T-stuk messing 22x22x22mm gastec / kiwa 82502,4,10,7
"3010606,Bonfix Knelfitting messing knel puntstuk messing 3/4""x22mm conisch - gastec / kiwa 82743,4,10,4"
"3010688,Bonfix Knelfitting messing knel knie messing bu.dr. 3/4""bux22mm conisch - gastec / kiwa 82702,4,10,5"
3010756,Bonfix Knelfitting messing knel T-stuk verlopend messing 22x15x22mm gastec / kiwa 82505,4,10,5
"8910545,Bonfix Knelfitting messing knel T-stuk verlopend messing bi.dr. 22x1/2""bix22mm conisch - gastec / kiwa 82640,4,10,5"
3010646,Bonfix Knelfitting messing knel eindstop messing 22mm gastec / kiwa 82496,4,10,8
8910405,Bonfix Knelfitting messing knel wartelmoer messing 15mm gastec / kiwa 83700,4,10,31
3010912,Bonfix Knelfitting messing knelring messing 15mm gastec / kiwa 84070,4,10,23
3010894,Bonfix Knelfitting messing knel wartelmoer messing 22mm gastec / kiwa 83701,4,10,17
3010914,Bonfix Knelfitting messing knelring messing 22mm gastec / kiwa 84071,4,10,35
"3010602,Bonfix Knelfitting messing knel puntstuk messing 1/2""x22mm conisch - gastec / kiwa 82529,4,10,2"
8910030,Bonfix Knelfitting messing knel T-stuk verlopend messing 22x22x15mm gastec / kiwa 82507,4,10,7
3010752,Bonfix Knelfitting messing knel T-stuk verlopend messing 22x15x15mm gastec / kiwa 82506,4,10,6
3010588,Bonfix Knelfitting messing knelkoppeling messing verlopend 22x20mm 82579,4,10,5
